seller_id,seller_click_days,seller_add_to_cart_days,seller_purchase_days,seller_add_to_favorite_days,seller_action_total_days,seller_purchase_day_rt
1,176,55,185,185,185,1.0
2,169,6,54,84,177,0.3050847457627119
3,168,4,31,79,172,0.18023255813953487
4,176,2,117,99,180,0.65
5,176,6,64,154,184,0.34782608695652173
6,135,4,45,60,137,0.3284671532846715
7,175,6,140,79,183,0.7650273224043715
8,175,3,111,143,182,0.6098901098901099
9,163,5,26,29,165,0.15757575757575756
10,158,12,81,98,164,0.49390243902439024
11,176,13,164,172,185,0.8864864864864865
12,176,7,129,148,185,0.6972972972972973
13,172,7,89,92,177,0.5028248587570622
14,162,3,52,87,165,0.3151515151515151
15,47,3,7,16,47,0.14893617021276595
16,176,6,98,83,180,0.5444444444444444
17,58,1,26,30,58,0.4482758620689655
18,150,2,24,78,151,0.15894039735099338
19,170,6,100,88,179,0.5586592178770949
20,176,10,72,122,182,0.3956043956043956
21,141,3,97,95,146,0.6643835616438356
22,149,3,68,59,161,0.422360248447205
23,70,4,35,47,71,0.49295774647887325
24,176,15,136,100,182,0.7472527472527473
25,172,6,95,92,183,0.5191256830601093
26,175,1,49,77,180,0.2722222222222222
27,175,10,82,100,183,0.44808743169398907
28,176,32,157,185,185,0.8486486486486486
29,171,2,70,99,178,0.39325842696629215
30,64,6,29,55,64,0.453125
31,85,7,55,46,85,0.6470588235294118
32,176,9,89,84,182,0.489010989010989
33,176,36,182,185,185,0.9837837837837838
34,176,16,182,174,185,0.9837837837837838
35,175,6,71,126,183,0.3879781420765027
36,150,0,65,50,154,0.42207792207792205
37,173,2,111,118,177,0.6271186440677966
38,139,9,28,54,141,0.19858156028368795
39,162,1,66,56,170,0.38823529411764707
40,175,14,74,138,182,0.4065934065934066
41,167,6,51,71,173,0.2947976878612717
42,175,1,17,63,181,0.09392265193370165
43,176,14,163,162,185,0.8810810810810811
44,176,8,138,166,184,0.75
45,111,0,32,34,118,0.2711864406779661
46,95,5,42,35,96,0.4375
47,155,1,90,108,165,0.5454545454545454
48,156,4,53,60,159,0.3333333333333333
49,100,0,6,28,101,0.0594059405940594
50,171,4,106,86,180,0.5888888888888889
51,161,13,91,129,169,0.5384615384615384
52,97,2,21,24,100,0.21
53,176,8,68,143,179,0.37988826815642457
54,150,6,65,89,160,0.40625
55,176,12,137,177,185,0.7405405405405405
56,176,15,116,178,185,0.6270270270270271
57,170,5,38,78,178,0.21348314606741572
58,155,8,107,87,158,0.6772151898734177
59,106,9,14,26,107,0.1308411214953271
60,176,11,166,146,185,0.8972972972972973
61,139,1,39,33,147,0.2653061224489796
62,176,1,182,166,185,0.9837837837837838
63,176,17,62,153,184,0.33695652173913043
64,9,0,1,6,9,0.1111111111111111
65,176,5,105,112,183,0.5737704918032787
66,176,25,185,177,185,1.0
67,168,1,112,65,176,0.6363636363636364
68,176,8,146,124,185,0.7891891891891892
69,176,6,113,137,184,0.6141304347826086
70,174,5,47,83,182,0.25824175824175827
71,176,10,155,162,185,0.8378378378378378
72,176,14,88,164,181,0.4861878453038674
73,175,8,81,119,176,0.4602272727272727
74,176,10,128,171,185,0.6918918918918919
75,175,3,75,62,178,0.42134831460674155
76,176,13,117,119,184,0.6358695652173914
77,167,0,20,53,172,0.11627906976744186
78,176,11,138,165,185,0.745945945945946
79,176,10,106,156,185,0.572972972972973
80,161,1,60,44,163,0.36809815950920244
81,163,6,59,62,172,0.3430232558139535
82,176,13,119,150,183,0.6502732240437158
83,150,10,59,61,154,0.38311688311688313
84,176,15,180,166,185,0.972972972972973
85,71,4,31,31,73,0.4246575342465753
86,176,13,109,172,185,0.5891891891891892
87,172,0,104,110,175,0.5942857142857143
88,170,3,69,123,179,0.3854748603351955
89,174,7,85,116,180,0.4722222222222222
90,155,3,10,38,159,0.06289308176100629
91,39,2,14,25,39,0.358974358974359
92,176,4,77,106,185,0.41621621621621624
93,176,11,46,158,181,0.2541436464088398
94,176,7,56,146,184,0.30434782608695654
95,176,9,87,149,185,0.4702702702702703
96,127,2,26,53,132,0.19696969696969696
97,168,3,72,57,173,0.4161849710982659
98,176,5,117,152,184,0.6358695652173914
99,83,0,25,9,86,0.29069767441860467
100,96,4,58,55,99,0.5858585858585859
101,174,11,95,108,182,0.521978021978022
102,176,11,123,138,183,0.6721311475409836
103,175,4,49,117,182,0.2692307692307692
104,73,8,60,59,73,0.821917808219178
105,45,0,21,13,51,0.4117647058823529
106,176,36,183,185,185,0.9891891891891892
107,175,6,71,153,184,0.3858695652173913
108,176,4,58,110,183,0.31693989071038253
109,176,5,95,169,184,0.5163043478260869
110,49,3,29,20,49,0.5918367346938775
111,176,15,159,160,185,0.8594594594594595
112,92,2,10,29,98,0.10204081632653061
113,105,4,53,67,105,0.5047619047619047
114,176,10,159,173,185,0.8594594594594595
115,176,6,59,82,182,0.3241758241758242
116,176,14,130,172,185,0.7027027027027027
117,110,1,23,43,114,0.20175438596491227
118,175,20,102,136,183,0.5573770491803278
119,82,3,33,55,82,0.4024390243902439
120,176,6,124,132,185,0.6702702702702703
121,176,25,146,160,185,0.7891891891891892
122,95,7,71,84,95,0.7473684210526316
123,165,2,77,60,174,0.4425287356321839
124,144,0,27,20,149,0.18120805369127516
125,162,5,32,104,162,0.19753086419753085
126,68,0,6,9,71,0.08450704225352113
127,176,4,144,168,185,0.7783783783783784
128,140,4,39,35,142,0.2746478873239437
129,171,4,19,86,173,0.10982658959537572
130,85,2,28,49,85,0.32941176470588235
131,176,20,159,184,185,0.8594594594594595
132,175,5,69,106,180,0.38333333333333336
133,176,24,138,180,185,0.745945945945946
134,176,11,129,116,184,0.7010869565217391
135,98,2,28,43,99,0.2828282828282828
136,176,6,60,142,184,0.32608695652173914
137,176,5,150,103,184,0.8152173913043478
138,161,0,82,91,170,0.4823529411764706
139,176,21,145,175,185,0.7837837837837838
140,176,15,95,141,185,0.5135135135135135
141,176,36,174,185,185,0.9405405405405406
142,176,25,185,185,185,1.0
143,124,5,26,34,126,0.20634920634920634
144,176,19,156,182,185,0.8432432432432433
145,176,14,104,175,185,0.5621621621621622
146,176,2,145,95,185,0.7837837837837838
147,88,0,33,17,90,0.36666666666666664
148,176,19,164,163,185,0.8864864864864865
149,171,1,37,67,176,0.21022727272727273
150,27,1,9,5,31,0.2903225806451613
151,156,2,112,99,165,0.6787878787878788
152,135,5,21,53,138,0.15217391304347827
153,156,1,54,77,162,0.3333333333333333
154,174,3,161,111,185,0.8702702702702703
155,171,2,94,70,171,0.5497076023391813
156,106,3,8,35,106,0.07547169811320754
157,116,3,47,37,120,0.39166666666666666
158,176,27,170,185,185,0.918918918918919
159,175,2,43,71,184,0.23369565217391305
160,170,5,30,69,178,0.16853932584269662
161,176,5,102,109,177,0.576271186440678
162,156,1,24,47,161,0.14906832298136646
163,155,1,99,55,155,0.6387096774193548
164,38,2,20,18,39,0.5128205128205128
165,176,9,86,153,185,0.4648648648648649
166,175,0,51,111,182,0.2802197802197802
167,176,15,143,174,179,0.7988826815642458
168,176,13,172,117,184,0.9347826086956522
169,110,2,17,28,113,0.1504424778761062
170,171,2,31,120,178,0.17415730337078653
171,74,8,59,49,74,0.7972972972972973
172,164,12,48,113,167,0.2874251497005988
173,176,39,180,185,185,0.972972972972973
174,176,3,152,66,183,0.8306010928961749
175,34,2,26,33,34,0.7647058823529411
176,146,1,54,60,151,0.3576158940397351
177,155,2,30,51,163,0.18404907975460122
178,176,9,90,101,182,0.4945054945054945
179,64,2,26,45,64,0.40625
180,107,5,11,49,113,0.09734513274336283
181,176,4,31,147,184,0.16847826086956522
182,166,4,77,76,172,0.4476744186046512
183,79,2,36,35,82,0.43902439024390244
184,120,12,115,101,121,0.9504132231404959
185,41,13,90,123,125,0.72
186,169,9,111,124,178,0.6235955056179775
187,176,1,69,95,183,0.3770491803278688
188,175,6,28,113,180,0.15555555555555556
189,174,6,43,117,178,0.24157303370786518
190,170,8,71,95,178,0.398876404494382
191,176,9,96,182,185,0.518918918918919
192,176,12,141,149,185,0.7621621621621621
193,69,1,13,15,69,0.18840579710144928
194,175,5,88,95,177,0.4971751412429379
195,176,6,76,169,185,0.41081081081081083
196,141,5,52,65,143,0.36363636363636365
197,123,5,72,102,123,0.5853658536585366
198,171,2,47,83,178,0.2640449438202247
199,176,19,165,172,184,0.8967391304347826
200,156,7,74,106,158,0.46835443037974683
201,98,3,51,43,99,0.5151515151515151
202,176,41,173,185,185,0.9351351351351351
203,176,16,182,179,184,0.9891304347826086
204,39,1,12,19,44,0.2727272727272727
205,175,6,96,100,179,0.5363128491620112
206,176,5,168,147,185,0.9081081081081082
207,164,12,81,101,168,0.48214285714285715
208,32,0,13,10,33,0.3939393939393939
209,45,4,16,27,45,0.35555555555555557
210,171,1,107,87,181,0.5911602209944752
211,163,3,65,77,171,0.38011695906432746
212,176,10,134,133,185,0.7243243243243244
213,166,13,90,71,171,0.5263157894736842
214,176,8,75,78,178,0.42134831460674155
215,176,16,133,161,185,0.7189189189189189
216,65,4,27,33,67,0.40298507462686567
217,173,1,130,35,179,0.7262569832402235
218,176,16,185,176,185,1.0
219,176,26,165,176,185,0.8918918918918919
220,174,7,153,135,184,0.8315217391304348
221,171,1,113,74,179,0.6312849162011173
222,167,6,79,85,173,0.45664739884393063
223,153,0,42,53,159,0.2641509433962264
224,88,2,32,42,88,0.36363636363636365
225,176,9,158,149,185,0.8540540540540541
226,163,3,60,90,172,0.3488372093023256
227,163,9,35,110,167,0.20958083832335328
228,174,7,154,93,185,0.8324324324324325
229,116,4,6,29,116,0.05172413793103448
230,167,1,120,61,178,0.6741573033707865
231,176,5,43,104,181,0.23756906077348067
232,176,21,149,183,185,0.8054054054054054
233,175,8,141,136,184,0.7663043478260869
234,176,21,179,183,185,0.9675675675675676
235,176,6,149,156,185,0.8054054054054054
236,171,7,96,101,172,0.5581395348837209
237,83,0,19,25,88,0.2159090909090909
238,176,6,41,98,178,0.2303370786516854
239,174,10,81,134,182,0.44505494505494503
240,171,3,127,50,175,0.7257142857142858
241,150,4,83,73,158,0.5253164556962026
242,174,7,140,155,183,0.7650273224043715
243,156,2,65,62,157,0.4140127388535032
244,97,5,7,32,99,0.0707070707070707
245,81,6,54,58,81,0.6666666666666666
246,171,8,71,92,177,0.4011299435028249
247,171,5,116,83,177,0.655367231638418
248,176,6,165,165,185,0.8918918918918919
249,116,0,39,49,120,0.325
250,176,8,161,163,185,0.8702702702702703
251,166,5,89,80,171,0.52046783625731
252,176,3,175,98,183,0.9562841530054644
253,147,1,44,55,154,0.2857142857142857
254,165,7,96,65,166,0.5783132530120482
255,138,7,44,58,139,0.31654676258992803
256,78,2,39,36,78,0.5
257,172,6,49,106,180,0.2722222222222222
258,147,4,13,65,149,0.087248322147651
259,176,8,106,110,185,0.572972972972973
260,97,11,58,70,98,0.5918367346938775
261,174,5,116,121,181,0.6408839779005525
262,176,1,169,130,185,0.9135135135135135
263,174,1,72,82,177,0.4067796610169492
264,136,2,34,37,140,0.24285714285714285
265,86,7,58,79,87,0.6666666666666666
266,80,6,74,78,80,0.925
267,175,11,99,134,184,0.5380434782608695
268,168,8,36,50,175,0.2057142857142857
269,93,1,19,18,98,0.19387755102040816
270,176,24,182,185,185,0.9837837837837838
271,74,0,31,13,82,0.3780487804878049
272,169,1,67,45,176,0.3806818181818182
273,157,0,95,64,167,0.5688622754491018
274,159,7,60,90,162,0.37037037037037035
275,176,13,154,171,185,0.8324324324324325
276,83,5,18,57,86,0.20930232558139536
277,60,0,8,9,60,0.13333333333333333
278,176,8,49,129,185,0.2648648648648649
279,176,6,179,170,185,0.9675675675675676
280,120,3,40,40,120,0.3333333333333333
281,66,7,42,39,66,0.6363636363636364
282,169,5,58,54,171,0.3391812865497076
283,176,8,170,151,185,0.918918918918919
284,176,35,181,180,185,0.9783783783783784
285,174,10,131,103,183,0.7158469945355191
286,168,9,79,60,172,0.45930232558139533
287,176,8,65,157,184,0.3532608695652174
288,175,8,69,88,179,0.3854748603351955
289,172,7,67,74,176,0.3806818181818182
290,175,11,170,141,181,0.9392265193370166
291,175,6,128,107,179,0.7150837988826816
292,116,2,32,26,118,0.2711864406779661
